year,name,label,keyword,ner,tf_idf
106,核能電廠安全管制法規與技術研究計畫(2/4),能源,,,"核安, 核能, 福島, 國際, 機組"
106,原子能科技學術合作研究計畫(1/1),能源,,,"核能, 科技, 輻射, 事故, 領域"
106,放射性廢棄物貯存與處置安全管制技術發展(2/4),能源,,,"放射性, 廢棄物, \n子項, 核子, 燃料"
106,核能技術及核電廠除役之安全強化研究(3/4),能源,,,"反應器, 事故, 圍阻體, 輕水式, 燃料"
106,綠能科技深化研發與示範應用計畫(1/4),能源,,,"綠能, 研究所, 科技, 核研所, 沙崙"
106,農業資源循環暨農能共構之產業創新(1/4),能源,,,"農業, 綠能, 策略, 循環, 工作"
106,能源國家型科技計畫—新及再生能源技術研發(3/4),能源,,,"經費, 能源, 國家型, 科技, 總經費"
106,106年度「業界能源科技研究發展計畫」(1/1),能源,,,"能源, 公司, 經費, 上限, 新臺幣"
106,106年度「再生能源開發與推廣計畫」(1/1),能源,,,"經費, 能源, 太陽, 科技, 光電"
106,能源國家型科技計畫—節約能源技術研發(3/4),能源,,,"經費, 能源, 國家型, 科技, 總經費"
106,106年度「能源效率管理與節能技術推廣輔導」(1/1),能源,,,"能源, 策略, 效率, 政策, 車輛"
107,深度減碳，邁向永續社會(2/4),能源,,,"社會, 碳, 深度, 環境, 經濟"
107,產品碳足跡揭露服務計畫(碳足跡雲)(4/4),能源,,,"碳足跡, 產品, 平台, 係數, 資料庫"
107,創新低碳綠建築環境科技計畫(4/4),能源,,,"建築, 科技, 環境, 生態, 材料"
107,潔能系統整合與應用人才培育計畫(1/4),能源,,,"綠能, 科技, 能源, 知識, 產學"
107,綠色循環與二氧化碳新碳源創新材料計畫(2/4),能源,,,"材料, 循環, 製程, 綠色, 化學"
107,能源國家型科技計畫-能源產業技術發展綱要計畫(5/5),能源,,,"電池, 模組, 綠色, 大型, 船機"
107,民生產業特用化學品開發與應用設備綱要計畫(1/4),能源,,,"材料, 製程, 關鍵, 化學品, 生質"
107,產業創新新材料開發計畫(1/4),能源,,,"材料, 高端, 結構, 高強度, 纖維"
107,能源國家型科技計畫-再生能源產業推動計畫(2/2),能源,,,"國內, 能源, 風力機, 工作, 風力"
